ward,precinct,pjoin,reg_voters,ballots_cast,blank_ballots,ballot_s1,ballot_s2,ballot_s3,ballot_s4,ballot_s5,petty_mayor,stefan_mayor,colorio_mayor,coleman_mayor,blank_mayor,bergman,stefan,toomey,nguyen,petty,creamer,wally,king,coleman,colorio,atlarge_blank,rose,cipro,d1_blank,mero-carlson,hampton-dance,d2_blank,russell,d3_blank,rivera,d4_blank,stratman,haxhiaj,d5_blank,johnson,mccullough,mailman,kamara,clancey,biancheria,soucy,novick,school_blank
Ward 1,Precinct 1,1-1,2870,942,0,942,,,,,580,31,244,60,27,396,151,427,385,529,261,358,412,268,423,2042,519,414,9,,,,,,,,,,,477,491,509,423,394,299,267,403,2389
Ward 1,Precinct 2,1-2,2963,983,1,983,,,,,554,27,302,67,33,463,162,487,339,503,208,371,382,258,488,2237,494,470,19,,,,,,,,,,,469,480,499,378,401,333,311,406,2621
Ward 1,Precinct 3,1-3,1591,554,0,554,,,,,350,27,121,31,25,265,100,274,247,285,163,225,237,136,222,1170,308,236,10,,,,,,,,,,,298,297,297,250,234,177,128,257,1386
Ward 1,Precinct 4,1-4,2792,1107,0,1107,,,,,704,49,229,77,48,518,179,447,583,612,395,455,557,294,410,2192,715,368,24,,,,,,,,,,,670,561,628,586,431,295,270,563,2638
Ward 1,Precinct 5,1-5,2683,529,0,529,,,,,288,28,138,50,25,227,129,262,205,240,148,180,202,157,254,1170,226,299,4,,,,,,,,,,,232,272,273,218,214,201,175,194,1395
Ward 2,Precinct 1,2-1,2741,646,1,646,,,,,347,34,192,51,22,288,144,352,235,305,151,265,264,186,328,1358,289,347,10,,,,,,,,,,,275,345,316,242,270,268,192,276,1692
Ward 2,Precinct 2,2-2,2608,665,0,665,,,,,380,33,180,52,20,291,152,362,274,310,183,288,277,214,288,1351,329,330,6,,,,,,,,,,,310,372,366,259,272,234,192,263,1722
Ward 2,Precinct 3,2-3,2478,614,0,614,,,,,332,20,172,61,29,233,122,312,257,295,194,302,265,204,278,1222,282,321,11,,,,,,,,,,,298,335,314,254,253,224,209,270,1527
Ward 2,Precinct 4,2-4,2371,357,0,357,,,,,226,21,54,40,16,129,76,189,97,167,80,99,150,108,126,921,179,165,13,,,,,,,,,,,152,160,154,143,127,130,105,148,1023
Ward 2,Precinct 5,2-5,1648,115,0,115,,,,,79,10,12,9,5,38,23,40,51,60,35,24,50,42,40,287,64,48,3,,,,,,,,,,,53,36,44,60,33,32,27,56,349
Ward 3,Precinct 1,3-1,2181,378,2,,378,,,,228,21,81,34,14,166,80,184,166,197,129,168,178,127,150,723,,,,187,156,35,,,,,,,,200,193,196,174,177,118,108,195,907
Ward 3,Precinct 2,3-2,784,103,0,,103,,,,67,6,14,14,2,41,26,46,61,58,42,37,62,36,33,176,,,,36,55,12,,,,,,,,58,49,64,51,42,31,29,60,234
Ward 3,Precinct 3,3-3,2114,233,0,,233,,,,149,11,45,21,7,79,69,93,110,129,85,75,127,78,90,463,,,,114,106,13,,,,,,,,128,101,115,129,104,69,82,120,550
Ward 3,Precinct 4,3-4,1971,136,0,,136,,,,81,15,19,16,5,49,36,53,69,68,54,29,63,54,45,296,,,,63,65,8,,,,,,,,81,49,67,76,41,40,33,74,355
Ward 3,Precinct 5,3-5,2112,245,0,,245,,,,148,14,55,19,9,96,61,120,107,128,88,68,113,84,111,494,,,,117,110,18,,,,,,,,132,119,122,124,118,100,75,124,556
Ward 4,Precinct 1,4-1,1799,170,1,,170,,,,81,9,46,28,6,51,40,63,53,78,35,35,65,60,75,465,,,,86,68,16,,,,,,,,73,51,74,78,51,80,46,74,493
Ward 4,Precinct 2,4-2,1941,211,0,,211,,,,115,9,65,19,3,94,48,98,80,107,64,51,96,68,108,452,,,,123,73,15,,,,,,,,90,94,94,95,85,114,67,110,517
Ward 4,Precinct 3,4-3,2185,163,0,,163,,,,107,11,15,20,10,49,40,51,97,85,83,48,102,50,39,334,,,,58,96,9,,,,,,,,101,75,76,101,68,54,39,108,356
Ward 4,Precinct 4,4-4,2108,271,0,,271,,,,149,7,90,20,5,137,70,150,88,142,77,69,109,83,141,560,,,,173,74,24,,,,,,,,118,114,108,105,121,153,75,124,708
Ward 4,Precinct 5,4-5,2271,340,2,,340,,,,186,19,86,29,20,155,77,164,119,164,94,112,120,119,160,756,,,,206,101,33,,,,,,,,141,143,147,140,131,178,86,169,905
Ward 5,Precinct 1,5-1,1983,153,0,,,153,,,91,10,31,16,5,61,37,69,61,79,46,36,78,53,56,342,,,,,,,105,48,,,,,,78,78,67,84,68,70,34,61,378
Ward 5,Precinct 2,5-2,2403,317,0,,,317,,,163,22,91,27,14,146,67,151,101,139,78,80,100,97,148,795,,,,,,,218,99,,,,,,125,117,139,136,114,144,90,104,933
Ward 5,Precinct 3,5-3,2738,344,0,,,344,,,161,20,121,26,16,167,79,201,96,145,71,106,129,120,182,768,,,,,,,221,123,,,,,,138,137,155,128,141,174,105,134,952
Ward 5,Precinct 4,5-4,2423,338,0,,,338,,,195,16,86,32,9,149,78,195,134,167,87,102,151,121,156,688,,,,,,,246,92,,,,,,148,156,164,144,156,154,105,153,848
Ward 5,Precinct 5,5-5,2425,338,0,,,338,,,174,18,114,22,10,191,78,178,95,165,74,130,121,108,180,708,,,,,,,226,112,,,,,,125,134,156,135,138,169,105,126,940
Ward 6,Precinct 1,6-1,1676,87,0,,,87,,,55,4,13,8,7,26,27,29,46,43,33,26,38,27,27,200,,,,,,,56,31,,,,,,45,31,43,53,34,29,20,43,224
Ward 6,Precinct 2,6-2,2026,148,0,,,148,,,88,13,21,21,5,47,44,60,72,85,57,42,81,68,50,282,,,,,,,101,47,,,,,,81,69,72,82,63,54,41,86,340
Ward 6,Precinct 3,6-3,2064,173,0,,,173,,,108,12,27,19,7,68,42,79,59,89,49,39,78,68,56,411,,,,,,,116,57,,,,,,78,74,68,80,59,61,37,72,509
Ward 6,Precinct 4,6-4,841,113,0,,,113,,,69,6,30,6,2,47,30,53,54,60,41,42,51,39,S O,211,,,,,,,86,27,,,,,,65,54,67,60,49,35,45,65,238
Ward 6,Precinct 5,6-5,2260,203,0,,,203,,,115,14,42,27,5,78,52,85,87,92,66,47,106,75,72,458,,,,,,,144,59,,,,,,96,81,97,104,75,63,66,94,542
Ward 7,Precinct 1,7-1,2360,502,0,,,,502,,274,28,130,56,14,194,120,210,242,238,167,219,261,177,211,973,,,,,,,,,,,186,294,22,264,218,248,237,190,163,168,231,1293
Ward 7,Precinct 2,7-2,1916,270,0,,,,270,,149,28,43,43,7,91,64,104,125,104,83,105,116,94,91,643,,,,,,,,,,,129,134,7,143,100,114,131,90,75,103,113,751
Ward 7,Precinct 3,7-3,2406,348,0,,,,348,,179,23,88,47,11,151,85,171,126,154,84,141,141,125,155,755,,,,,,,,,,,173,148,27,166,131,182,155,127,128,103,145,951
Ward 7,Precinct 4,7-4,2233,309,0,,,,309,,155,32,84,28,10,114,100,132,110,143,92,125,93,106,134,705,,,,,,,,,,,167,124,18,150,121,144,126,116,104,90,139,864
Ward 7,Precinct 5,7-5,2351,392,0,,,,392,,189,33,125,32,13,159,105,187,141,180,100,144,118,134,199,885,,,,,,,,,,,245,138,9,179,165,188,141,131,130,150,147,1121
Ward 8,Precinct 1,8-1,1697,91,0,,,,,91,59,5,14,11,2,36,20,38,36,43,30,27,46,30,36,204,,,,,,,,,57,34,,,,39,33,36,44,31,37,20,38,268
Ward 8,Precinct 2,8-2,1577,75,0,,,,,75,46,9,14,4,2,24,22,25,50,35,36,20,43,27,29,139,,,,,,,,,56,19,,,,49,36,41,46,30,28,30,44,146
Ward 8,Precinct 3,8-3,1012,83,0,,,,,83,53,8,7,6,9,20,23,25,64,38,50,14,48,28,19,169,,,,,,,,,53,30,,,,47,40,47,53,27,22,15,53,194
Ward 8,Precinct 4,8-4,1788,209,0,,,,,209,141,17,25,18,8,59,57,71,86,133,83,45,98,63,64,495,,,,,,,,,166,43,,,,105,77,107,122,85,70,43,103,542
Ward 8,Precinct 5,8-5,1735,131,0,,,,,131,76,12,29,8,6,47,45,52,66,67,51,33,54,41,51,279,,,,,,,,,81,50,,,,70,61,65,67,57,47,45,70,304
Ward 9,Precinct 1,9-1,2342,545,0,,,,545,,335,28,99,61,22,233,106,224,296,310,201,276,303,170,174,977,,,,,,,,,,,175,343,27,343,273,331,298,204,147,144,283,1247
